,reviews
10,i am already in portugal so contacted them today and they cancelled my return flight because i was minutes late calling them even though i tried for hours to get through the day before now i am unable to get back and they have kept the pounds customer service is shocking they have no intention of helping you
11,terrible avoid this airline its now becoming regular practice to cancel flights had a cancellation from switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to spain the airline only knows how to ask for expensive prices
12,despite being a gold member the british airways staff in heathrow literally could not care in the slightest about the absolute turmoil and logistical damage or wider impact of their terrible service all the staff members repeat the same mantra we are not obliged to provide even an update for the first hours as if that would make the situation better there are no proactive updates no empathy no care but a lot of actual lies being told you can tell that they have given up any care or thought for the passengers as actual individuals they show this in every action and word they say all of them are better suited to working away from other humans
13,regarding the aircraft and seat the business class seats on this flight were pretty good all were of the suite type where every seat has its own booth with sliding door for extra privacy the downside to this is that if you are travelling as a couple its quite difficult to interact there is ample storage and usb charging ports the seat is pretty comfortable as someone who finds it very difficult to sleep on flights this was one of the only times ive been able to get a few minutes sleep here and there the amenities provided are pretty average when compared to other airlines the leather toiletry bag was quite nice though no slippers only a pair of socks the restrooms on the flight are very small and dont provide much in the way of toiletries compared to other airlines no free wifi in business class is not acceptable another example of bas penny pinching in recent years regarding the staff and customer service poor inattentive beyond meal times there was offer of water during the flight i had to go and find an attendant and ask there was also no offer of any snacks rude at times my partner asked for a fork to be replaced as the one provided was quite clearly dirty the attendant was incredibly rude in response this left us shocked different customers seem to receive a different quality of service a customer behind me was repeatedly greeted politely by name and asked how they were whether they needed anything etc whereas my partner and i were not afforded the same level of personal service this is disappointing as we paid the same price for the tickets so expect the same level of service the food was pretty bad i had risotto while my partner had chicken both were extremely over cooked and the rice looked like porridge the vegetables were discoloured and flavourless the bread was nice though the breakfast wasnt much better summary ba has become the ryanair of long haul the customer service is way below what i would expect for a premium airline in a premium seat you pay a premium price for a very average service if there are other options available i would choose them over ba these days
14,i travelled with british airways from sweden to los angeles via london in december when i arrived at lax one of my bags were missing there was no information of the whereabouts of my bag and after searching for someone for about minutes i found the point of contact and she told me my bag was left behind i gave her my details of where i would be staying and she told me that they would contact me after a few days and still no contact i tried to call british airways customer service the woman at the airport didnt give me a file reference number so it was quite difficult to try and locate my bag but they finally found the reference number and my bag and said it would be delivered in a couple of days i told them that i had switched hotels and gave them the address for where i was staying and everything was fine but then a couple of weeks went by and my bag was still nowhere to be seen and it was time for me to fly home at the airport i tried to talk with the personnel there to try and locate my bag and they said that it was delivered to the first hotel i stayed at even though i had given them an updated address i asked them what i should to since i was flying home now the guy at the counter told me that it wasnt his problem and that i should figure it out myself i questioned him about his response and he just walked away a manager saw that and came up to me and apologized for his colleague and that they would send someone to fetch my bag and send it with either my flight or the next one i came home and a couple of days later i received my bag i made a complaint and claims on british airways website since i had to buy clothes and toiletries during my vacation because i didnt have my bag in january they said that they would refund me for my claims it is now april almost may and i have still not received the refund even after multiple email conversations i dont know what to do anymore about this situation since it appears that no one is willing to help me i am appalled about how the situation is being handled and frankly disappointed at british airways and the lack of customer service
15,food was lousy who ever is planning the asian hindu vegetarian meal is clueless as to what this meal includes the snack was also lousy it took us hours just to go from t to t and clear security check the place was chaotic we get to our boarding gate and again a long line with minutes wait for someone to check passport and boarding pass seats in premium economy was ok but when the passenger in front reclines there is very little space for the window seat passenger to cross over overall not a good airline
16,had the worst experience the flight from london to toronto got delayed and we missed the connecting flight to halifax we were four including an infant and a toddler aged years despite being delayed and missed the connecting flight the ground staff were not at all helpful we waited for an hour to get them to talk to us and at am they told us they have not booked any hotel for us to stay that night and asked to go search for a hotel on your own very nice of you british airways at least you guys should have given some consideration to the travelers who travel with children and booked some accommodation we will not to travel on this airline again
17,the ground staff were not helpful felt like all they wanted to do was rush us to check in and then all passengers needed up waiting in a holding area for a bus anyway travelling with a child with a disability was a nightmare with british airways logged a complaint and it took almost four weeks to answer lost some of our luggage it was not a good experience
18,second time ba premium economy in a newer aircraft and yet another excellent experience despite a three hour delay and missing my connection in hong kong this was a very pleasant flight seats are spacious and comfortable in premium economy in this layout attitude of the cabin crew was excellent and food was good they communicate well and rebooked my connection during the flight which brought peace of mind a very pleasant experience in ba premium economy after a major disappointment in club world earlier this year
19,they changed our flights from brussels to london heathrow to lax on we paid extra to choose our seats since they cancelled they never honored the seat that we bought they seated us in totally different seats i asked the check in employee she was very rude and told us that we have to understand that was a different flight from london to lax was worse nobody in the airport help us employees from ba told us that we have to return next day for our flight we can rent a hotel or go terminal and sleep there finally one employee help us and gives a voucher for hotel it was a nightmare this airline we missed one day work and ba didnt return the money that we paid for our previous chosen seats
20,at copenhagen the most chaotic ticket counter assignment in the history of airlines time on board never changed no fixed counter at airport abysmal service that needs vast improvement here
21,worst experience of my life trying to deal with the customer service for british airways so many issues with getting from one destination to the other had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties i wrote them a formal complaint requesting some type of refund and received a generic we are sorry email with avios attached which is equivalent to maybe on a flight needless to say these will go to waste as i refuse to fly with an untrustworthy incompetent unorganized airline that couldnt even address one single issue expressed to them it was equivalent to handing me a band aid after slapping me in the face i will say the flight itself was smooth and the onboard staff was kind and attentive the most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss
22,due to code sharing with cathay pacific i was downgraded to ba on my return leg i cant describe how cheated i felt i booked and paid for an airline with great entertainment food and service instead i was forced to go hungry because they only had one choice of meal and it was inedible to ensure the passengers didnt get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts the cabin crew announced in their uniquely aggressive and dismissive way you wont get anything else for hours you know the entertainment is compiled mainly of b movies so i paid for wifi so i could watch netflix on my laptop unsurprisingly the signal was so weak i couldnt even send an email to add insult to injury the earbuds provided the cheapest and lowest quality i have ever seen since the last time i used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful what i dont understand is why it seems that british airways look for these characteristics as desirable attributes for their crew
23,lhr check in was quick at the first wing and quickly through security the first lounge was quiet for a change and a reasonably good breakfast buffet available while ba have brought back their highlife magazine in the lounge it seems they used covid to scrap all the other magazines they used to offer as part of the endless ba cost cutting the toilets in the lounge were as disgusting as ever not cleaned frequently on this visit and they are about years out of date the public washrooms in t are better and cleaner boarding was the usual ba muddled mess and two of the gate staff appeared to have no clue what they were doing endless announcements at the gate about being a full flight requesting passengers to check in bags only to get on a flight that was less than full onboard a very good welcome from captain and the flight left the gate only mins late breakfast had choices and was a fair standard no hot towels or even packet towels offered in club europe any more another part of the relentless ba cost cutting i wouldnt mind but fares are proportionately a lot higher now than pre covid cabin staff service was perfunctory at best not a scrap of recognition for ba gold or oneworld emerald members clear proof that ba really dont care any more breakfast trays cleared mins into the flight and that was the sign for staff to stay in the front galley for the rest of the flight paid for hours wifi and dropped connection for the next mins sad to note that staff service on ryanair is more pro active nowadays priority tagged suitcase came out nearly last at malaga this is standard for ba business class baggage handling do not waste your money on club europe standards just keep dropping
24,i wouldnt recommend british airways at all i tried to call to customer service for times in different days and time and i waited for more than minutes on the phone i ended hanging up they are excusing themselves in the high volume of calls i write an email an i am still waiting for weeks website is difficult to navigate it is not easy really to have an invoice of proof of receipt or look for another service they sent you online but you dont receive a pdf file so if you need a proof of flight you need to do screenshots and once the flight is flown you have no access to that booking again to reprint any document or try to create a pdf you need to contact with a customer service which i did it online long waiting time and had to wait more than a week to receive it expensive and poor almost inexistent customer service and difficult to use their website an airline that definitely wouldnt recommend it is such a shame that in they are still in this position and sleeping when they have competitors around
25,absolutely horrible experience i booked a ticket from expedia for a british airways operated flight from madrid to belfast with a changeover at london heathrow the whole itinerary was listed as ba although the madrid to london flight was iberia on jan nd london was experiencing cold and fog the iberian flight sat on the tarmac for hours in madrid because of the london weather upon landing in terminal i had to take a bus to terminal the flight was the last flight to belfast for the evening and it had already taken off the ba desk was swamped with people as many people had to spend the night due to the weather the british airways staff said that we could go book any hotel up to pounds and we would be reimbursed i was barely able to find a room and had to take an expensive cab however when trying to get the reimbursement ba said it wasnt their problem and that it was iberias problem iberia said they do not reimburse due to the weather when complaining to ba they said they only market the flight as ba and that they refuse to reimburse absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but dont want to take responsibility for it did they expect me to take the bus back to terminal their people gave out false information
26,this is the worst airline not one thing went right i dont understand how they have got it so bad late take off no gate when we arrived bags took over minutes to arrive horrendous
27,i will never fly british airways again to start the plane was over hours late with no weather and no reason given the boarding process was chaotic both in the airport and onto the plane but more importantly although we were in business class it wasnt really business class there were a few aisles not separated in any wayin which they simply put a tray on the middle seat so that no one sits there and those seats like the rest were extremely cramped and uncomfortable i could not believe they called this business class
28,worst aircraft i have ever flown the seats were cramped and uncomfortable considering the flights cost well over each we expected a little space for the money my husbands knees were rubbing on seat in front which for a hour flight is not acceptable my food was disgusting and inedible both the hot food and the breakfast were vile i would not entertain using ba again ground staff were great its the seating and food on offer that lets the airline down we expected so much more
29,i enjoyed my flight the boarding was swift and service was very friendly and professional the food selection was good and i enjoyed the quality the was only one downside when we landed there was an issue with ground crew not being ready at t so in total from landing to getting the doors open it took minutes i believe the heathrow t were having strike action that week
30,why do you make it so hard after a so so lounge experience the staff taking care of boarding treated us with disdain bordering contempt it cant be training who would do that it has to be no fear of anything happening the new club world suites are a huge step up from the old product and really on deliver comfort and privacy the crew were professional but i personally found the food menu rather odd essentially there was one only main that i could handle and was then told they had ran out i was a few rows in
31,after several delays and canceled flights we finally made it to copenhagen on american airlines and british airways flights my luggage was destroyed wheels torn off i had to buy new luggage in denmark i made a claim with british airways to reimburse me but because i didnt have the receipt for my old luggage they would only cover of my new luggage advice have receipts for your old luggage prior to flying so you dont get ripped off like i did
32,literally the worst flight of my life after booking tickets together with my partner we were then separated sorry the flight is full the flight then took off minutes late no apology the trolley service took over two hours and they periodically skipped rows and the response was flippant and rude whoops not sure how that happened what do you want genuinely appalling from beginning to end might as well fly easy jet at least they charge a price commensurate with the poor quality of service not like ba
33,i swore i would never fly ba again after they messed me about so much when trying to get to budapest but the times for their flights suited me so i decided to give them another go the flight left on time just about the cabin was clean and the staff friendly there was even complimentary teacoffee and a breakfast bar to be had for economy the flight was pleasant enough and i cant think of any negatives to write about the flight and service was certainly head and shoulders above my trip with easyjet
34,obviously many airlines have gone downhill in recent years prices have increased and services have gone down the most disappointing thing about ba is that aspects that really dont need to get worse have the check in staff at heathrow are downright rude and abusive shouting at passengers to line here and there and rolling their eyes if passengers get confused with the constant shouting and bullying airlines are now competing globally more and more and this behaviour is particularly noticeable in asia where the service industry is next level i wouldnt want to suggest that all the staff are like this and many younger employees are polite and helpful however there were a couple of older staff that were downright rude and obnoxious
35,lost out of checked bags denied wheelchair assistance at lhr for my wife and the staff forced us to change terminals by foot rude staff on ba from lhr to ord on april ignored multiple times when simply requested a cup of water when walked up to them after a couple of attempts to request for water politely the ba staff onboard yelled at my wife and asked her to be go back to seat horrible flight with disappointing staff customer service is terrible and online checkin never worked because ba never verified our covid documents which were uploaded in advance resulting me and my wife seated separately ive lost respect for british airways disgusted
36,i have flown with ba for many years and there was a time about years ago when they were getting better sadly this trip underlines how they have slipped versus other airlines at booking time one is scammed an extortionate amount to book a seat at heathrow t check in the queues were unbelievably long and staff at bag drop curt to say the least the lounges here remain awful and overcrowded and ba has not invested in them for many years on the flight the food was okay although portions are kept minimal this was one of those days when the crew could not give a damn and the service was mostly absent for the entire flight next time they change ceo can they not do better than recruiting from aa second rate budget irish airline
37,boarding at mumbai was chaotic and badly organised once on board the crew announcements were professional relaxed and informative in typical ba style the seat was quite comfortable it was a refurbished aircraft and the padding and materials are quite good i was lucky that the middle seat was empty so i didnt suffer from the new narrow seat which i think would have made it a lot less comfortable the ife is excellent responsive and good quality there is an enormous selection of tv and movies and a good number of games wifi is also very good not quite netflix quality but still reasonable and i dont think for full flight is bad value you can pay less if you just want short term simple messaging cabin crew were very good friendly and efficient catering was reasonable although on a near hr flight the small but tasty pastry for the second meal service wasnt really enough landing and processing at heathrow was astonishingly quick it felt like it was am even though it was pm no queues or waiting at all even the baggage was super quick at coming through overall a very solid experience in economy significantly better than it used to be
38,mexico city airport is a zoo but taking the late departure on ba to lhr isnt too bad club passengers can use the aa admirals lounge which is surprisingly good and not too busy as it seems to cater to bas club passengers only at this time of day lovely staff solid food bar really pleasant we flew an older with the old style club seats seated in the front cabin just rows of club in the window and adjecant aisle seat is really good if you travel with your partner come to think of it i will really miss this old style once cutting edge layout there is no better way to fly when you are a couple we were in that last row of the front cabin so both window and aisle seat had unobstructed access to the aisle still terrible you have to pay for these seats but it obvioulsy works and we were happy getting these seats flying ba when the crew is good is amazing service was impecable on this flight just the right mix of humor service and attention food seemed to be good as well but hardly touched it i am fine sleeping in these old club world seats although bedding could be better on time departure smooth flight and early arrival at heathrow we went outside for a smoke and returned to the terminal through fast track security at lhr has always been terrible but today security staff was too busy chatting among themselves so all bags went through without secundary checks we had a lovely shower at the spa what a fabulous facility the south lounge was crazy busy and it is just a design disaster who ever choose the bizarre combination of furniture what a mess food on offer was solid and so are the drinks our home stretch to amsterdam was pretty straight forward lousy welcome at the door but crew recovered well and made everyone feel special with excellent barcart service i love the doubleservings of drinks english tea is about the worst meal concepts in the world and i really dont understand ba stuck to it through the years noone like the cucumber white bread things but hey on time landing in amsterdam but the usual long taxi then clumsy jet bridge connection ended up with a minute late arrival why is it so hard to connect a jetbridge in amsterdam flying club in ba is still wonderful i love it
39,very poor service very frustrating firstly my flight to lhr was cancelled on mar while i got a text message to inform me the information desk was unable to confirm if was correct or scam once this was confirmed i went to the counter to get my new boarding pass at the counter they informed me that the coach will be leaving in mins for the hotel we me and other fellow travelers waited for over mins there was no one at the coach stand to guide us or answer any questions the transfer hotel was mins away from the airport when we got to the hotel which is around pm the staff informed that dinner closes at that was a rush it appeared more of a motel than an hotel the room was smelling of weed being a nonsmoker this was uncomfortable although i wanted to compromise and rest when i went to wash my face the tap on the sink came off in my hands i panicked and asked the reception staff to change my room after some discussion they agreed to change it i went to the alternate room to my horror it was occupied i asked the staff to call a cab and i left
40,generally poor sent to gate on time sat maybe minutes was then announced as crew were not familiar with the a there would be a delay clearly nonsense and there was a retraction on board of this statement watched the crew walk through to the gate my impression was they did not want to be there was given a miniscule amount of water small bag of pretzels and then it was announced there would be a wait for any further cabin service as card processing machines were us no further updates or sight of crew for next two hours then attempted to charge us for even a glass of water when i said this should be complimentary girl said it was not her problem and walked away
41,ba changed our prepaid seats at the last minute and charged us to select new seats flight took off late cabin crew served a tiny packet of pretzels arrived at heathrow late put on a remote stand loaded onto buses to terminal held up at transit security by a clown of a member of staff allowed passengers at a time because of a trial queued at security for minutes
42,flew from london heathrow to marrakech ba changed our pre paid seats at the last minute and even charged us to select other seats boarding was chaos staff were rude demanding selected passengers put their hand luggage in the hold i had one small bag however they never demanded other passengers with bags and some with hand luggage that was obviously too big flight was late taking off and the snack was a miserable tiny packet of cheese pretzels this airline is going downhill rapidly
43,i was meant to fly in january to algeria i paid over for the ticket just a few days before i was meant to fly my wife broke her foot i had to then rebook it in march and pay another i called british airways weeks before my flight in march and i told them again that it had to me rebooked as my wife was still not well they told me that i dont have to pay anything to get it rebooked as i sent them a letter from the hospital saying my wife wasnt well however they never sent me the ticket they made me wait for nearly weeks and they asked me to pay either on top of the that i paid previously or the second option they gave me is to get a refund of tax only i found it ridiculous that they told me to pay a fraction of the money i previously paid each time i call them they hang up on me or they continue telling me to pay i made a complaint and nothing happened
44,we have flown repeatedly with british airways and the one world alliance over the last few weeks every flight was delayed now we are back at the airport in miami and have another massive delay so we will miss our connecting flight finally our luggage arrived in puerto rico with a day delay and we had to reschedule our round trip we havent received any information about our luggage to this day luckily we checked it ourselves at the airport and it was there the last delayed flight meant the cabin crew that they too miss their connecting flights and we are on the same plane and they cant do anything wir sind in den letzten wochen immer wieder mit britisch airways und dem one world zusammenschluss geflogen jeder flug war versptet nun sitzen wir wieder in miami am flughafen und haben schon wieder eine massive versptung sodass wir unseren anschlussflug verpassen werden zuletzt ist auch unser gepck mit tagen versptung in puerto rico angekommen und wir mussten unseren rundreise umplanen wir haben bis heute noch keine info ber unser gepck erhalten zum glck haben wir selbst am flughafen nachgesehen und es war da beim letzten verpspteten flug meinte die kabinen crew dass auch sie ihre anschlussflge verpassen und wir im selben flugzeug sitzen und sie knnen nichts machen
45,i was horrified by the extremely small seats and the poor training that the crew clearly receives not one of them exuded any kind of warmth or expressed any desire to make our journey pleasant the seats were so narrow that regardless of the size of your neighbors you are forced to touch each other constantly if the seat in front of you is reclined you have no choice but to recline your own or else you are breathing in the head scalp of the person in front of you food was revolting they dont even provide napkins unless you ask with the premeal drinks and the secondary meal the last time i flew ba it was a completely other experience and i was so sorry to see how far the quality level has slid it was really majorly disappointing and i regret that i have already purchased other intercontinental trips with the company i will now have to see if i can change them the pathetic ml bottle of water its just a sip on the shorter flights the seats couldnt even be reclined which was a great pity since the flight was delayed by almost hours and we had to wait on board
46,the worst cabin experience ever cramped seats very low cost style and uncomfortable could suit for short flights but not for a hours service catering is also a shame ml of water a chocolate bar for a hours service will never fly ba again
47,first time flying with british airways and first time flying to the americas from india via london heathrow i chose premium economy at a reasonable price i was quite comfortable however the first leg of the flight from mumbai to heathrow the plane was a bit outdated and there was only a foot rest the second leg from heathrow to nassau the plane was brand new and my premium economy seat had a pop up leg support which was much more comfortable cabin service was fine i appreciated that they didnt come through the cabin often while everyone was sleeping the meals werent that great to be honest after landing in heathrow we had to wait on the tarmac for minutes waiting for an open gate my connection was less than an hour long the ba staff in the heathrow airport helped me move through security quickly and i made it with time to spare for my next flight when i arrived in nassau i found that my luggage didnt make it due to the short connection time in london the ba baggage representative in nassau was extremely professional and took down my claim my luggage arrived on the next ba flight a few days later and british airways nassau representative delivered it over to a charter airline which shipped it to the island i was staying on very impressive and efficient
48,the latest affront stood in first class line for an hour finally go up front and the ba agent let supposed vips with large tobechecked bags in front of all of us arrogant and unapologetic add this to a long list of postcovid disappointments we are done with ba
49,booked a flight return flight between london and munich for to in december the return flight was cancelled and rebooked from to british airways only notified me of the first change but not the second getting the flight reinstated took multiple phone calls on both occasions each time needing to find a helpful representative british airway employees told me that even though they cancelled my flight they did not have to refund the ticket they tried to charge an change fee through repeatedly calling back british airways reinstated my flight on and then again on to make sure it did not get changed again i checked the status of my ticket daily from to it was intact those days on when it was time to checkin for the flight it was gone at the airport the staff at the british airways checkin counter are not ba employees so cannot help resolve problems there are no ba representative at the munich airport the confirmation documentation from british airways was of no value i was left stranded at the airport
50,i tried to check in on line and was informed that this was not possible i was given no reason for this i telephoned ba customer service and must have wasted nearly hours being given wrong phone numbers and incorrect information staff need customer training better knowledge of their product and some manners ba customer service was virtually non existent i will never fly with them again
51,a catalogue of failures we flew from belfast to heathrow a week ago and the flight was delayed by over three and a half hours we missed our onward air canada flight to calgary as a result on arriving in calgary after rerouting via vancouver which added over hours to our journey we met other passengers who had also missed the same air canada flight as their british airways flight from manchester had also been delayed by several hours we are now on our way home only to find our heathrow to belfast flight which had already been cancelled and put back hours is now delayed by another hours avoid british airways like the plague
52,our flight out to dubrovnik was at the painful time of in the morning and from london gatwick not an easy airport to get to at that hour especially as you have to be at the airport minimum hrs before to be ready to board i understand why the likes of easyjet ryanair or wizzair fly at very odd times to utilise cheaper slots at airports but it seems an odd choice for ba given most people like us who fly with them choose them based on quality not on price alone outbound lgwdbv boarding was fairly quick easy and efficient and we took off on time pilot announcements clear professional and inspired confidence which is something i appreciate and expect of ba pilots aircraft was clean and it had not been through the recent refurbishment program yet so had the advantage of having the pinnacle seats in economy still with more padding and adjustable winged headrests for better comfort complimentary harrogate mineral water given as usual which is a premium touch complimentary snack of a nutrigain bar was poor and not premium however cabin crew felt very unpolished in both presentation and behaviour messy illfitting uniforms and unclassy makeup toilets clean and maintained appreciate antibacterial wipes being kept available postcovid inbound dbvlgw for some reason no online or app checkin available despite dubrovnik airport being a very modern airport with state of the art facilities no queue at manual checkin though and ground staff were very warm friendly and helpful proactively offered to take our larger handluggage into hold free of charge but we decided to keep with us as we would have to dash for train home from airport and trains on the other end were being cancelled already we did not understand the delay to our flight as the inbound flight for that day had took off on time and landed on time also we travelled to dubrovnik out of season and the airport was empty at that hour with all services being available solely for this flight taking off that evening all the passengers in the terminal at that time including us were there to take this flight we boarded on time and then we all sat at the gate for minutes for no reason its truly bizarre how ba managed to take off late when all the services at the airport were operating and live solely for the purpose of enabling this flight to take off pilots for this flight were unpolished with unclear announcements during the flight one couldnt even remember where we flying back to no apology for delay cabin crew a bit smarter presented and seemed more approachable harrogate water given out and the worlds tiniest bag of pretzels complimentary seats for this flight were horrendous and the new slimline ones ba are installing from row onwards these seats have barely any padding so very hard and also have no headrests so very hard to get comfortable we landed minutes late in gatwick and again no apology was given we were lucky to catch the last uncanceled train home otherwise wed been stranded for hours wed spent half an hour circling gatwick because we missed our original landing slot given because in the context of the shorthaul market thats what they deserve we fly ba as we dont fly the lowcost carriers after so many bad experiences but its by no measure good just the least bad option given point extra solely for giving something complimentary onboard
